eps	nCompTar.m	nCompTar.std	nEndColl.m	nEndColl.std	nNonEndColl.m	nNonEndColl.std
3.2800000000000002	1636.614	18.306856748224146	0.0	0.0	0.082	0.39658038277252194
3.3200000000000003	1633.69	18.306116464176664	0.0	0.0	0.072	0.3725801927102405
3.36	1630.559	18.344495604949184	0.0	0.0	0.068	0.3624582734605461
3.4	1627.398	18.413082197177093	0.0	0.0	0.066	0.3572730048576298
3.44	1624.233	18.316623897432628	0.0	0.0	0.064	0.35200000000000004
3.48	1620.876	18.27738011860562	0.0	0.0	0.054	0.3241666238217623
3.52	1617.459	18.28426424551997	0.0	0.0	0.05	0.3122498999199199
3.56	1614.004	18.245711386514913	0.0	0.0	0.042	0.2867681990737467
3.6	1610.485	18.099496539959336	0.0	0.0	0.04	0.27999999999999997
3.64	1606.925	18.041434948473473	0.0	0.0	0.042	0.2867681990737467
3.68	1603.296	17.98806226362362	0.0	0.0	0.038	0.27304944607158604
3.72	1599.459	18.00100883284045	0.0	0.0	0.038	0.27304944607158604
3.7600000000000002	1595.633	18.0397979755872	0.0	0.0	0.034	0.2585420662097369
3.8000000000000003	1591.709	18.039077554021436	0.0	0.0	0.03	0.24310491562286438
3.84	1587.647	18.04290417310916	0.0	0.0	0.028	0.23498085028359225
3.88	1583.555	18.038652250098952	0.0	0.0	0.028	0.23498085028359225
3.92	1579.345	18.0959657106218	0.0	0.0	0.024	0.2177705214210592
3.96	1574.959	18.002480912363165	0.0	0.0	0.024	0.2177705214210592
4.0	1570.515	18.075336096460283	0.0	0.0	0.026	0.22654800815721152
