eps	nCompTar.m	nCompTar.std	nEndColl.m	nEndColl.std	nNonEndColl.m	nNonEndColl.std
3.24	1630.656	18.275110505821846	0.0	0.0	0.068	0.3624582734605461
3.2800000000000002	1627.718	18.274202472337883	0.0	0.0	0.064	0.35200000000000004
3.3200000000000003	1624.725	18.28040959606759	0.0	0.0	0.056	0.32994545003682046
3.36	1621.585	18.289909103109288	0.0	0.0	0.056	0.32994545003682046
3.4	1618.378	18.364125789157512	0.0	0.0	0.054	0.3241666238217623
3.44	1615.176	18.253630433423375	0.0	0.0	0.052	0.31827032535252164
3.48	1611.775	18.228888474067748	0.0	0.0	0.044	0.2933666647729425
3.52	1608.315	18.202905674644363	0.0	0.0	0.04	0.27999999999999997
3.56	1604.812	18.19072994687129	0.0	0.0	0.034	0.25854206620973696
3.6	1601.279	18.017246154726312	0.0	0.0	0.03	0.24310491562286438
3.64	1597.652	17.968942539838007	0.0	0.0	0.032	0.25095019426173
3.68	1594.002	17.935105129326676	0.0	0.0	0.028	0.23498085028359225
3.72	1590.17	17.96238013181995	0.0	0.0	0.028	0.23498085028359225
3.7600000000000002	1586.356	18.00425682998329	0.0	0.0	0.026	0.22654800815721152
3.8000000000000003	1582.421	18.01593070035517	0.0	0.0	0.022	0.20860488968382312
3.84	1578.346	18.027542372714038	0.0	0.0	0.02	0.19899748742132398
3.88	1574.247	18.012217825687095	0.0	0.0	0.02	0.19899748742132398
3.92	1570.044	18.084138464411293	0.0	0.0	0.018	0.1888809148643663
3.96	1565.625	17.977774472942972	0.0	0.0	0.018	0.1888809148643663
4.0	1561.171	18.02758328229272	0.0	0.0	0.018	0.1888809148643663
